Section,Task,Options,Help_Link,Weights
Info,,,,
Info,,,,
Section1,,,,"1, 2, 3, 4"
Section1,,,,"5, 4, 3, 2, 1"
Section1,,,,"1, 2, 3, 4"
Section1,,,,"2, 3, 4, 1, 0"
Section1,,,,"1, 2, 3, 4"
Section2,,,,"0, 1, 2, 5"
Section2,,,,"1, 2, 3, 4"
Section2,,,,"4, 3, 2, 1"
Section2,,,,"1, 2, 3, 4"
Section3,,,,"1, 2, 3, 4"
Section3,,,,"1, 2, 3, 4"
Section3,,,,"0, 1, 2, 4"
Section3,,,,"3, 0, 0, 3"
Section3,,,,"1, -1, 1, 0, 0"
Section4,,,,"1, 2, 3, 4"
Section4,,,,"1, 2, 4, 0"
Section4,,,,"1, 2, 3, 4"
Section5,,,,"1, 2, 3, 4"
Section5,,,,"0, 2, 3, 4"
Section5,,,,"0, 1, 2, 3, 5"
Section5,,,,"0, 1, 3, 4"
Section5,,,,"3, 1, 0, -1"
Finally,,,,"0, -1"
Finally,,,,"5, 3, 2, 1, 0"
Finally,,,,"0, 1, 3, 4"
Finally,,,,"-2, 0, 1, 2, 5"
